"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2002","2002",10196.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2003","2003",10194,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2004","2004",10197.1,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2005","2005",10211.2,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2006","2006",10238.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2007","2007",10298.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2008","2008",10384.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2009","2009",10443.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2010","2010",10474.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2011","2011",10496.1,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2012","2012",10510.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2013","2013",10514.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2014","2014",10525.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2015","2015",10546.1,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2016","2016",10566.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2017","2017",10594.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2018","2018",10629.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2019","2019",10671.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2020","2020",10697.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","CZE","Czech Republic","2021","2021",10701.8,"P","Provisional value"
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1990","1990",5140.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1991","1991",5154.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1992","1992",5171.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1993","1993",5188.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1994","1994",5206.2,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1995","1995",5233.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1996","1996",5263.1,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1997","1997",5285,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1998","1998",5304.2,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","1999","1999",5321.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2000","2000",5339.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2001","2001",5358.8,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2002","2002",5375.9,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2003","2003",5390.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2004","2004",5404.5,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2005","2005",5419.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2006","2006",5437.3,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2007","2007",5461.4,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2008","2008",5493.6,,
"DEMODOMP","Total population, incl. France Metropolitan + D.O.M. (overseas departments)","EFFPEREF","Thousands of persons","DNK","Denmark","2009","2009",5523.1,,
